bins	SAMPLE_12	SAMPLE_13	SAMPLE_14	SAMPLE_15	SAMPLE_16	SAMPLE_17	SAMPLE_18	SAMPLE_19	SAMPLE_21	SAMPLE_22
year_1978_Bin_24_MAG_00002	3.194380324920158	0.1732123511306939	0.1415160693584466	2.863697773867215	2.802154848796799	1.819771606601272	0.9936925530329153	0.6756243965517026	0.44146685719008255	0.09401746320385448
year_1978_Bin_27_MAG_00001	0.0628965253079243	0.08358022751203645	0.0548610899279145	0.0847351246659544	0.049315961867929345	0.15054727297930645	0.08123317222949208	0.05913374604850259	0.06503777645036896	0.026917096454956116
year_1978_Bin_31_MAG_00001	0.04963976056151342	0.9600822098545178	0.7897106657992684	0.043470974406164826	0.03498458946111105	0.06527243059925134	0.06845905275843314	0.05178520009324024	0.057957338021753006	0.09047380360742205
year_1978_Bin_33_MAG_00001	0.30131964052316507	0.05071112035570032	0.0599735349047168	0.07186217497647056	0.04751472987605366	0.11158083950704703	0.13724563856999974	0.0860008644674379	0.08409416794271501	0.1645870028943432
year_1978_Bin_35_MAG_00001	3.114245882156698	0.7713215387265098	0.5076801162312891	7.204710278413537	4.7813005590511635	0.974372790884487	0.8837117525510354	0.5754655783695524	0.7579209462687957	0.07688072324503728
year_1978_Bin_36_MAG_00001	0.17111632109708258	0.2724661135891899	0.36084774837605393	0.1023413596401963	0.02456375387838312	0.27707731618342557	0.08243298709036968	0.07002782505070171	0.3190187940866953	0.26253571586352625
year_1978_Bin_37_MAG_00001	0.0904254459886598	0.2246812828226961	0.17721736615340117	0.24915094651674607	0.3149848035772941	0.7762783495400303	0.3390109978868857	0.19617654773892154	0.2645785271585574	0.05282862696801559
year_1978_Bin_37_MAG_00002	0.11743608463131862	0.6562481442798409	0.6940236204794656	2.4835212049867788	2.590822001068895	3.119364287036681	0.9350052571460509	0.4016014210013379	0.05073582579110442	0.0015579316536082186
year_1978_Bin_37_MAG_00003	0.012196228400858294	0.06027912736972468	0.01056424284489446	0.12539183530895448	0.5681294428793714	0.15176331559583917	0.05842712430308886	0.034072093160404104	0.00413270004581808	0.0022410030983909235
year_1978_Bin_37_MAG_00004	0.029384099357090503	0.023765572433428066	0.008167178648589521	0.027194355865578786	0.054931106758060566	0.03426867910680242	0.017121737438463874	0.12894584820802965	0.0030718915371253266	0.0005353378425380862
year_1978_Bin_37_MAG_00005	0.146091603126146	1.5314196450258097	0.08999201930606744	0.2811231755133532	1.1139579139160034	1.125614625693208	0.06901837464629469	0.07077712092214095	0.014342796998497071	0.0004395164774455248
year_1978_Bin_39_MAG_00001	0.3719502109245865	2.589963837643783	1.1123242343308344	0.3299337865291271	0.2568525910700302	0.6131695906162175	0.5875154853463224	0.20990206205242867	1.2813326439390171	0.7151313184357844
year_1978_Bin_3_MAG_00001	0.02288906835111013	0.12884271299758773	0.023442398080655905	0.0986625192569217	0.27619530347076154	0.11516260891531667	0.03352438642899121	0.018378662087325966	0.024963318590962697	0.03698310626417683
