""	SAMPLE_101	SAMPLE_102	SAMPLE_103	SAMPLE_104	SAMPLE_105	SAMPLE_106	SAMPLE_107	SAMPLE_108	SAMPLE_109	SAMPLE_111	SAMPLE_112	SAMPLE_113	SAMPLE_114	SAMPLE_115	SAMPLE_116	SAMPLE_117	SAMPLE_118	SAMPLE_121	SAMPLE_122	SAMPLE_123	SAMPLE_124	SAMPLE_125	SAMPLE_126	SAMPLE_127	SAMPLE_128	SAMPLE_129	SAMPLE_130	SAMPLE_132	SAMPLE_133	SAMPLE_134	SAMPLE_135	SAMPLE_136	SAMPLE_137
year_1978_Bin_39_MAG_00001	0,012903954	0,017872034	0,026934905	0,00897333	0,01471922	0,014739519	0,039565556	0,016205799	0,016749267	0,009203869	0,013178699	0,008832955	0,0056097135	0,023316981	0,024513215	0,022662435	0,00980354	0,013273929	0,014568971	0,009259805	0,026163105	0,006645832	0,017345682	0,020969184	0,022294655	0,010562466	0,008428982	0,021872971	0,028191565	0,021003874	0,02355297	0,032829307	0,028419353
year_1978_Bin_4_MAG_00001	0	0,016216148	0,01809276	0,0054895286	0,013741952	0,006510621	0,015111893	0,020599362	0,03089463	0,006274413	0,019650428	0,005286493	0,0096313385	0,014185157	0,02950614	0,04352601	0,018337086	0,006777141	0,0103070745	0,008998219	0,00965451	0,011723473	0,012170135	0,012014304	0,019210834	0,021370048	0,02601753	0,019346064	0,02242126	0,031572677	0,019017208	0,023364684	0,0539248
year_1978_Bin_40_MAG_00001	0	0	0	0,009209694	0	0,028816659	0	0	0,039880853	0	0	0	0	0	0	0,027483286	0	0,011964037	0,015172852	0,015839301	0,019959737	0,014694556	0,018861528	0,016487848	0,024199087	0,014204192	0,016037311	0,020697875	0,035238866	0,017737288	0,03015699	0,0332323	0,019406062
year_1978_Bin_40_MAG_00002	0	0	0	0,010999669	0,04398768	0,022857988	0	0	0,03690071	0,033552535	0	0,02922823	0	0,012619622	0	0,00788024	0,02252683	0,051605612	0,01198698	0,02753383	0,020344008	0,010079139	0,032856565	0,05057199	0,020659959	0,006259625	0,005016433	0,01815539	0,015965972	0,024077749	0,018048545	0,01361163	0,019942045
year_1978_Bin_5_MAG_00002	0,0020182114	0,0030304792	0,0015017184	0,0018872193	0,002442948	0,0021379152	0,015449616	0,003641768	0,005913491	0,0036424897	0,0033647937	0,004471713	0,0037504563	0,017756494	0,032377504	0,03623654	0,009743561	0,007606753	0,010675297	0,00677903	0,012600891	0,010667415	0,015327291	0,014965813	0,029966867	0,01877126	0,011118622	0,02407459	0,029093958	0,028581616	0,01223148	0,032964397	0,034356374
year_1978_Bin_8_MAG_00001	0	0,0053848885	0,0070107644	0,006776814	0,013819867	0,007518168	0,055483583	0,008765281	0,00899655	0,004784899	0,011748335	0,021631416	0,026945245	0,021973321	0,035021544	0,041115195	0,021357095	0,0055447053	0,005639738	0,005385125	0,01341997	0,009659329	0,005410599	0,004413176	0,023436964	0,0070588393	0,005752031	0,0333982	0,016881065	0,015380298	0,030666424	0,033089597	0,042993724
year_2021_Bin_1_MAG_00001	0,010057739	0,01017047	0,013692829	0,007920691	0,0060020327	0,010035081	0,023802835	0,01080217	0,0062745283	0,0032877997	0,0077650645	0,011823088	0,0062573557	0,02441443	0,017270556	0,018141106	0,016521193	0,019018477	0,026537761	0,025854627	0,027127244	0,022610307	0,024807626	0,022592423	0,027613945	0,027257042	0,018972225	0,031078927	0,02500349	0,02291008	0,033384845	0,027043749	0,029360907
year_2021_Bin_11_MAG_00001	0,024116134	0,005103925	0,02092744	0,011527676	0,008344496	0,013844391	0,020076897	0,018133719	0,013995769	0,0032985215	0,0035048034	0,014283903	0,0060271537	0,013467864	0,016097143	0,012605551	0,020297816	0,014711904	0,027746739	0,017602205	0,030508254	0,0156523	0,020141687	0,028059604	0,027850874	0,029192463	0,02595678	0,028376756	0,026684659	0,030368287	0,02194331	0,031426344	0,031780224
year_2021_Bin_12_MAG_00001	0,02208713	0,016865639	0,026655119	0,029813083	0,023601256	0,02073809	0,02513226	0,01685303	0,0045448067	0,007321477	0,013579597	0,01693992	0,022271553	0,024606742	0,019731684	0,028055334	0,023696719	0,029986305	0,026437016	0,025581308	0,03471352	0,025279747	0,024545154	0,02852306	0,036209017	0,025895363	0,023697397	0,03728596	0,03524375	0,03511495	0,025441164	0,044448946	0,04486074
year_2021_Bin_12_MAG_00002	0,021619944	0,01432197	0,024965247	0,021721562	0,031067148	0,023363562	0,024244	0,0047870427	0,009635633	0,0073428084	0,013751024	0,015530517	0,015091484	0,026288345	0,025695512	0,030189022	0,022287278	0,029860651	0,0337105	0,033442374	0,031781357	0,029032264	0,020159023	0,029457226	0,033479203	0,027203673	0,022664832	0,03157266	0,03562943	0,03020706	0,022106737	0,036799844	0,034909356
